# Vollständige Liste: pro PLZ-2 und Rolle ein eigener Datensatz
# Bearbeitung: Name, Tel, Mail je Zeile anpassen
plz2,role,name,tel,mail
00,VAD,VAD Team PLZ 00,+49 30 10000 100,vad.plz00@firma.de
00,KAMLIGHT,KAMLIGHT Team PLZ 00,+49 30 10001 101,kamlight.plz00@firma.de
00,KAMHEAVY,KAMHEAVY Team PLZ 00,+49 30 10002 102,kamheavy.plz00@firma.de
01,VAD,VAD Team PLZ 01,+49 30 10010 100,vad.plz01@firma.de
01,KAMLIGHT,KAMLIGHT Team PLZ 01,+49 30 10011 101,kamlight.plz01@firma.de
01,KAMHEAVY,KAMHEAVY Team PLZ 01,+49 30 10012 102,kamheavy.plz01@firma.de
02,VAD,VAD Team PLZ 02,+49 30 10020 100,vad.plz02@firma.de
02,KAMLIGHT,KAMLIGHT Team PLZ 02,+49 30 10021 101,kamlight.plz02@firma.de
02,KAMHEAVY,KAMHEAVY Team PLZ 02,+49 30 10022 102,kamheavy.plz02@firma.de
03,VAD,VAD Team PLZ 03,+49 30 10030 100,vad.plz03@firma.de
03,KAMLIGHT,KAMLIGHT Team PLZ 03,+49 30 10031 101,kamlight.plz03@firma.de
03,KAMHEAVY,KAMHEAVY Team PLZ 03,+49 30 10032 102,kamheavy.plz03@firma.de
04,VAD,VAD Team PLZ 04,+49 30 10040 100,vad.plz04@firma.de
04,KAMLIGHT,KAMLIGHT Team PLZ 04,+49 30 10041 101,kamlight.plz04@firma.de
04,KAMHEAVY,KAMHEAVY Team PLZ 04,+49 30 10042 102,kamheavy.plz04@firma.de
05,VAD,VAD Team PLZ 05,+49 30 10050 100,vad.plz05@firma.de
05,KAMLIGHT,KAMLIGHT Team PLZ 05,+49 30 10051 101,kamlight.plz05@firma.de
05,KAMHEAVY,KAMHEAVY Team PLZ 05,+49 30 10052 102,kamheavy.plz05@firma.de
06,VAD,VAD Team PLZ 06,+49 30 10060 100,vad.plz06@firma.de
06,KAMLIGHT,KAMLIGHT Team PLZ 06,+49 30 10061 101,kamlight.plz06@firma.de
06,KAMHEAVY,KAMHEAVY Team PLZ 06,+49 30 10062 102,kamheavy.plz06@firma.de
07,VAD,VAD Team PLZ 07,+49 30 10070 100,vad.plz07@firma.de
07,KAMLIGHT,KAMLIGHT Team PLZ 07,+49 30 10071 101,kamlight.plz07@firma.de
07,KAMHEAVY,KAMHEAVY Team PLZ 07,+49 30 10072 102,kamheavy.plz07@firma.de
08,VAD,VAD Team PLZ 08,+49 30 10080 100,vad.plz08@firma.de
08,KAMLIGHT,KAMLIGHT Team PLZ 08,+49 30 10081 101,kamlight.plz08@firma.de
08,KAMHEAVY,KAMHEAVY Team PLZ 08,+49 30 10082 102,kamheavy.plz08@firma.de
09,VAD,VAD Team PLZ 09,+49 30 10090 100,vad.plz09@firma.de
09,KAMLIGHT,KAMLIGHT Team PLZ 09,+49 30 10091 101,kamlight.plz09@firma.de
09,KAMHEAVY,KAMHEAVY Team PLZ 09,+49 30 10092 102,kamheavy.plz09@firma.de
